Điểm hiện tại,Thời gian làm,Tỉ lệ đúng,Nhãn
0,120,100,-10
650,750,60,5
300,750,60,5
200,750,100,150
0,750,100,150
0,360,60,350
0,750,60,5
600,750,100,0
200,360,60,200
300,120,60,0
0,360,100,0
650,180,100,-10
600,750,100,-50
0,750,100,350
0,750,100,200
0,750,100,150
0,750,100,0
200,180,100,0
0,750,100,0
0,750,100,0
200,750,100,5
0,750,100,150
0,750,60,150
0,180,100,0
0,360,100,350
300,750,100,150
0,750,100,5
200,750,100,150
200,120,100,0
0,750,100,0
200,750,100,0
0,360,100,200
0,180,100,-50
650,750,100,0
650,750,60,-50
600,750,100,-50
0,750,100,200
0,750,60,150
300,750,100,0
0,750,60,-10
0,750,100,0
0,360,100,0
0,750,100,0
650,750,100,0
0,360,60,0
300,120,100,150
0,750,100,150
200,750,100,-50
200,120,100,0
0,360,100,150
650,750,100,5
300,360,100,200
650,180,100,150
600,750,100,0
200,750,60,-10
650,360,100,150
0,750,100,-50
0,750,100,5
0,360,100,350
0,750,60,5
0,750,100,0
0,750,100,150
600,750,60,0
0,750,100,5
0,120,100,350
200,750,100,0
0,750,100,350
600,180,100,350
0,120,100,0
650,750,100,-10
300,750,100,0
0,120,100,-50
0,750,100,-10
600,360,100,150
300,750,100,-10
300,180,100,0
300,750,100,200
0,750,100,-50
0,750,100,200
0,180,100,0
600,750,100,0
200,180,100,150
0,750,100,150
0,750,60,200
0,360,100,150
0,750,60,200
300,750,100,0
200,750,100,0
600,750,100,200
0,360,100,200
0,120,60,350
300,750,60,0
300,750,100,0
200,750,100,200
300,750,60,0
0,750,100,350
200,750,100,200
0,750,100,0
0,750,100,200
0,750,60,200
