Điểm hiện tại,Thời gian làm,Tỉ lệ đúng,Nhãn
455,750,90,0
0,750,100,350
305,360,100,150
450,360,100,200
205,360,80,0
455,750,100,200
650,750,90,-50
650,180,60,0
300,180,80,-10
0,120,90,-10
655,750,60,-10
600,750,80,-50
0,360,90,0
650,120,60,5
605,120,80,0
300,750,90,5
305,360,80,0
200,750,50,150
0,750,50,150
200,360,70,0
600,360,100,0
0,180,60,0
200,750,80,150
200,750,60,0
300,750,70,0
650,750,90,-50
200,120,90,0
200,750,50,0
455,750,70,150
300,360,50,0
0,750,80,0
300,750,90,150
0,750,60,150
0,750,70,0
300,750,70,0
205,750,100,0
650,180,100,200
200,360,50,-10
305,750,90,200
450,360,70,5
0,360,70,5
450,750,90,-10
0,750,100,200
655,750,100,-50
0,750,80,-10
205,360,70,5
0,180,90,200
655,180,70,5
300,750,80,150
305,750,70,-10
0,360,90,0
455,750,60,-10
0,750,60,5
605,750,100,0
0,750,60,5
0,360,80,-10
0,750,60,0
300,750,50,5
305,750,50,0
0,750,60,150
600,750,100,-10
300,750,70,5
300,180,100,0
205,750,80,0
205,750,70,-10
305,750,80,0
0,120,80,0
0,180,90,5
605,180,70,5
650,750,70,-50
200,750,100,0
0,360,100,150
450,750,100,-10
205,750,70,150
0,750,90,-10
0,750,80,0
455,750,80,-10
450,750,60,150
0,360,80,5
0,750,60,0
0,750,70,5
450,750,100,150
0,750,60,200
0,750,50,0
600,180,50,150
0,750,100,350
450,120,80,200
0,360,70,5
0,750,90,5
0,750,90,0
455,120,70,150
605,750,90,-50
600,750,90,-10
200,360,90,0
450,750,60,150
0,750,100,350
0,750,80,-10
605,180,70,150
0,360,70,5
0,750,50,150
0,750,60,0
0,120,90,0
0,750,50,200
305,120,70,0
205,750,80,150
605,360,50,0
600,750,100,-50
200,360,60,0
0,360,70,5
200,180,70,0
305,360,60,-10
0,750,50,0
450,750,90,-10
205,360,100,200
305,750,60,200
205,750,90,0
0,750,90,150
650,750,90,-50
600,360,70,5
0,750,70,150
605,750,70,0
300,120,90,0
605,750,90,-10
600,360,60,0
205,750,70,200
0,120,100,150
0,750,90,5
300,750,100,5
450,750,90,5
0,120,70,-10
0,750,80,200
600,750,90,-50
655,750,50,-10
300,750,80,0
0,750,90,0
0,750,60,5
0,360,90,0
650,750,80,-50
0,750,100,150
305,120,50,0
0,120,70,150
305,360,80,150
450,750,70,-10
600,750,90,-50
0,750,90,-10
0,750,60,-10
0,750,80,5
650,180,80,5
605,360,70,-10
305,750,100,0
450,120,90,-10
450,360,90,150
0,750,90,200
650,750,80,-50
205,750,100,0
200,750,90,150
300,750,90,200
0,750,100,200
0,750,70,-10
455,750,90,-10
0,180,60,5
450,750,70,0
0,750,70,-10
200,360,100,5
0,750,100,150
200,750,90,150
455,180,90,0
0,360,80,-10
305,360,100,5
300,120,80,0
450,120,70,200
650,750,60,-50
455,360,90,0
0,750,90,150
0,360,70,0
0,750,50,200
305,360,90,0
0,750,50,5
300,750,90,-10
305,750,100,0
200,180,70,150
600,750,60,-10
0,750,90,0
0,750,90,0
455,180,80,150
300,120,100,200
450,750,50,-10
205,750,80,0
0,750,90,0
600,750,100,-10
600,750,60,-50
450,180,90,0
0,750,80,150
305,180,70,-10
200,750,60,0
0,750,100,200
650,750,60,-50
0,120,70,0
655,120,70,5
205,360,100,-10
0,360,90,5
300,360,90,150
605,750,70,-10
455,360,80,-10
600,360,80,-10
450,750,90,0
450,750,100,0
600,750,50,-50
0,120,90,5
300,750,50,-10
0,120,80,-10
655,120,70,0
650,750,70,-10
0,180,70,-10
455,750,80,5
650,750,70,-50
0,360,90,150
305,750,70,150
650,120,50,0
0,750,90,0
450,750,70,0
0,750,70,0
650,750,90,-10
655,120,70,150
650,750,50,-10
300,360,70,150
605,750,100,-50
600,750,80,-50
200,360,90,150
600,750,80,-50
0,180,60,5
305,750,70,0
0,750,90,-10
0,750,60,200
0,750,70,-10
450,360,70,200
200,180,70,200
455,180,100,150
0,360,50,5
200,360,80,5
300,750,60,150
600,750,100,-50
200,750,60,0
450,180,70,5
605,750,90,-50
450,750,90,0
0,120,70,0
0,750,70,5
605,750,70,-10
0,120,70,0
605,750,60,0
300,750,80,5
650,180,70,150
600,750,70,-50
655,750,90,-10
200,750,100,-10
600,750,80,-10
205,750,50,-10
300,750,50,150
450,750,100,200
605,120,70,0
655,750,50,-50
600,750,80,-10
205,750,80,0
205,120,80,150
455,750,70,-10
0,360,50,-10
0,360,100,350
200,180,70,5
0,360,90,150
0,750,90,0
0,750,80,5
0,360,70,5
0,750,70,5
655,750,80,-10
205,750,100,5
200,360,100,0
450,750,60,0
0,750,60,150
650,750,100,-50
600,120,90,5
0,120,100,150
205,750,60,5
605,750,80,-10
650,750,90,-50
300,750,90,-10
450,180,70,-10
0,750,50,5
655,750,80,-10
0,360,70,-10
650,750,80,-10
450,750,100,0
450,360,70,0
300,750,90,200
0,360,60,0
0,750,90,0
0,750,100,150
0,750,60,-10
600,750,50,-50
200,360,70,-10
0,750,50,5
655,750,90,-50
605,180,100,5
650,750,70,-50
655,750,70,-50
0,360,70,5
200,750,90,200
600,750,50,-50
450,360,80,150
0,750,80,5
600,180,80,5
0,360,60,5
0,180,90,-10
300,750,50,-10
305,750,60,5
305,180,100,0
0,750,90,200
605,750,50,-50
0,120,60,-10
0,750,60,150
605,750,70,-50
655,750,60,-50
605,750,50,-10
600,750,80,0
450,750,90,150
305,750,80,5
0,750,90,5
205,180,50,200
200,750,100,0
0,750,90,-10
455,180,90,0
300,120,90,0
0,750,100,200
0,750,80,5
450,750,60,5
0,750,80,-10
605,120,90,150
300,750,90,0
300,180,80,5
305,750,50,5
600,750,70,-50
200,750,100,-10
450,750,80,-10
305,360,80,150
0,750,70,200
605,750,70,-10
600,750,100,-50
450,360,90,0
605,750,90,-10
605,750,80,-10
455,360,80,-10
600,180,60,-10
450,750,90,150
450,750,70,0
450,180,70,0
600,360,80,-10
0,180,100,200
605,360,50,150
605,750,90,0
0,750,70,5
600,750,70,-50
0,750,50,-10
200,360,70,5
455,750,80,0
0,750,50,5
600,750,80,-50
600,750,100,-50
300,180,60,-10
0,750,90,0
0,360,70,-10
450,750,90,-10
655,120,70,200
450,180,60,0
0,750,60,5
450,360,50,150
300,750,60,200
600,360,90,5
0,750,100,350
600,750,90,-50
300,750,90,0
655,360,60,0
200,360,70,5
450,120,70,5
650,360,60,0
0,750,80,-10
650,750,80,-10
450,750,70,-10
0,750,70,5
200,750,90,5
455,750,90,150
0,360,70,150
305,750,100,150
200,750,100,0
450,750,70,150
0,180,70,5
605,750,80,-50
655,750,100,-50
655,750,100,-50
455,750,60,0
0,360,70,5
600,750,80,-10
0,180,80,-10
0,750,60,-10
200,120,100,200
300,750,90,-10
600,750,90,-50
450,360,100,5
205,750,90,5
0,360,70,-10
655,750,80,-50
205,750,60,-10
300,750,90,5
0,120,60,5
600,750,90,-50
450,750,60,5
0,360,60,150
0,750,60,-10
450,360,50,0
450,750,90,5
0,180,90,0
655,750,80,-50
0,750,60,5
205,120,50,150
650,360,50,150
205,120,60,5
450,750,100,150
200,360,60,0
0,750,70,5
655,360,60,0
205,360,60,-10
605,750,80,-10
0,120,80,5
0,750,60,0
0,750,50,200
450,750,70,-10
200,750,60,0
605,750,60,-50
300,180,100,150
655,120,80,150
0,360,80,0
605,750,70,-10
600,120,70,0
600,750,80,-10
600,750,90,-50
600,750,90,-50
450,750,60,200
0,120,80,0
